iter	MultiClass
0	0.8093705957
1	0.7672922146
2	0.7547201757
3	0.7451655309
4	0.74258066
5	0.7348963069
6	0.7305562094
7	0.7265356209
8	0.7236361022
9	0.7214462449
10	0.7199267171
11	0.7176381223
12	0.7126307582
13	0.7106341005
14	0.708089894
15	0.7062654231
16	0.7047084356
17	0.7034535432
18	0.6994372743
19	0.6973022131
20	0.6955342415
21	0.694220544
22	0.6924865817
23	0.6911943965
24	0.689440866
25	0.6876020287
26	0.6865187003
27	0.6854479168
28	0.684268993
29	0.6829424596
30	0.6816032958
31	0.6801754486
32	0.678293514
33	0.6776460329
34	0.6764592663
35	0.6753199683
36	0.6743207323
37	0.6735958623
38	0.6725859005
39	0.6713787854
40	0.6704214161
41	0.669515157
42	0.668514491
43	0.6672082962
44	0.6661076657
45	0.6652635966
46	0.6641843486
47	0.6631666312
48	0.661749352
49	0.660763127
50	0.6591692193
51	0.6581610862
52	0.6572886455
53	0.6561826198
54	0.6553215345
55	0.6548207326
56	0.6537602239
57	0.6527693841
58	0.6519938054
59	0.6512436197
60	0.650687857
61	0.649806812
62	0.649136969
63	0.6482225012
64	0.6475584421
65	0.646424677
66	0.6458628932
67	0.6450314803
68	0.6442996338
69	0.6437052777
70	0.6430089366
71	0.642453701
72	0.641534076
73	0.6406980233
74	0.6393859282
75	0.6385404645
76	0.6375529648
77	0.6368774255
78	0.6358629196
79	0.6349938235
80	0.6342169638
81	0.6334373298
82	0.6327819068
83	0.6321170518
84	0.6315885506
85	0.6308169636
86	0.629908256
87	0.6294236747
88	0.6286204177
89	0.6277610572
90	0.6269985187
91	0.6257763607
92	0.6250042283
93	0.6238682689
94	0.6232903582
95	0.6221232309
96	0.6214121653
97	0.6205984833
98	0.6196649498
99	0.6192072422
