iter	Passed	Remaining
0	203	20176
1	382	18750
2	538	17406
3	724	17394
4	874	16614
5	1026	16084
6	1179	15671
7	1347	15497
8	1508	15249
9	1655	14899
10	1803	14591
11	1946	14274
12	2129	14250
13	2273	13964
14	2421	13720
15	2567	13480
16	2710	13235
17	2850	12984
18	3011	12838
19	3167	12670
20	3316	12475
21	3456	12256
22	3617	12110
23	3762	11915
24	3910	11731
25	4060	11557
26	4203	11364
27	4339	11158
28	4519	11063
29	4660	10874
30	4809	10705
31	4942	10502
32	5106	10368
33	5240	10173
34	5393	10017
35	5539	9848
36	5694	9696
37	5830	9512
38	5971	9339
39	6112	9168
40	6252	8997
41	6406	8847
42	6567	8705
43	6723	8556
44	6889	8420
45	7030	8253
46	7195	8114
47	7355	7968
48	7523	7830
49	7683	7683
50	7856	7548
51	7999	7384
52	8163	7238
53	8333	7099
54	8472	6931
55	8605	6761
56	8750	6601
57	8892	6439
58	9047	6287
59	9183	6122
60	9334	5968
61	9468	5803
62	9610	5644
63	9749	5483
64	9889	5325
65	10027	5165
66	10168	5008
67	10307	4850
68	10450	4694
69	10594	4540
70	10735	4384
71	10868	4226
72	11013	4073
73	11153	3918
74	11307	3769
75	11448	3615
76	11621	3471
77	11759	3316
78	11906	3165
79	12042	3010
80	12185	2858
81	12319	2704
82	12463	2552
83	12602	2400
84	12744	2248
85	12886	2097
86	13048	1949
87	13183	1797
88	13325	1647
89	13474	1497
90	13632	1348
91	13772	1197
92	13918	1047
93	14078	898
94	14222	748
95	14360	598
96	14501	448
97	14642	298
98	14794	149
99	14925	0
